Á,Aacute
á,aacute
Ă,Abreve
ă,abreve
∾,ac
∿,acd
∾̳,acE
Â,Acirc
â,acirc
´,acute
А,Acy
а,acy
Æ,AElig
æ,aelig
⁡,af
𝔄,Afr
𝔞,afr
À,Agrave
à,agrave
ℵ,alefsym
ℵ,aleph
Α,Alpha
α,alpha
Ā,Amacr
ā,amacr
⨿,amalg
&,AMP
&,amp
⩓,And
∧,and
⩕,andand
⩜,andd
⩘,andslope
⩚,andv
∠,ang
⦤,ange
∠,angle
∡,angmsd
⦨,angmsdaa
⦩,angmsdab
⦪,angmsdac
⦫,angmsdad
⦬,angmsdae
⦭,angmsdaf
⦮,angmsdag
⦯,angmsdah
∟,angrt
⊾,angrtvb
⦝,angrtvbd
∢,angsph
Å,angst
⍼,angzarr
Ą,Aogon
ą,aogon
𝔸,Aopf
𝕒,aopf
≈,ap
⩯,apacir
⩰,apE
≊,ape
≋,apid
',apos
⁡,ApplyFunction
≈,approx
≊,approxeq
Å,Aring
å,aring
𝒜,Ascr
𝒶,ascr
≔,Assign
*,ast
≈,asymp
≍,asympeq
Ã,Atilde
ã,atilde
Ä,Auml
ä,auml
∳,awconint
⨑,awint
≌,backcong
϶,backepsilon
‵,backprime
∽,backsim
⋍,backsimeq
∖,Backslash
⫧,Barv
⊽,barvee
⌆,Barwed
⌅,barwed
⌅,barwedge
⎵,bbrk
⎶,bbrktbrk
≌,bcong
Б,Bcy
б,bcy
„,bdquo
∵,becaus
∵,Because
∵,because
⦰,bemptyv
϶,bepsi
ℬ,bernou
ℬ,Bernoullis
Β,Beta
β,beta
ℶ,beth
≬,between
𝔅,Bfr
𝔟,bfr
⋂,bigcap
◯,bigcirc
⋃,bigcup
⨀,bigodot
⨁,bigoplus
⨂,bigotimes
⨆,bigsqcup
★,bigstar
▽,bigtriangledown
△,bigtriangleup
⨄,biguplus
⋁,bigvee
⋀,bigwedge
⤍,bkarow
⧫,blacklozenge
▪,blacksquare
▴,blacktriangle
▾,blacktriangledown
◂,blacktriangleleft
▸,blacktriangleright
␣,blank
▒,blk12
░,blk14
▓,blk34
█,block
#NAME?,bne
≡⃥,bnequiv
⫭,bNot
⌐,bnot
𝔹,Bopf
𝕓,bopf
⊥,bot
⊥,bottom
⋈,bowtie
⧉,boxbox
╗,boxDL
╖,boxDl
╕,boxdL
┐,boxdl
╔,boxDR
╓,boxDr
╒,boxdR
┌,boxdr
═,boxH
─,boxh
╦,boxHD
╤,boxHd
╥,boxhD
┬,boxhd
╩,boxHU
╧,boxHu
╨,boxhU
┴,boxhu
⊟,boxminus
⊞,boxplus
⊠,boxtimes
╝,boxUL
╜,boxUl
╛,boxuL
┘,boxul
╚,boxUR
╙,boxUr
╘,boxuR
└,boxur
║,boxV
│,boxv
╬,boxVH
╫,boxVh
╪,boxvH
┼,boxvh
╣,boxVL
╢,boxVl
╡,boxvL
┤,boxvl
╠,boxVR
╟,boxVr
╞,boxvR
├,boxvr
‵,bprime
˘,Breve
˘,breve
¦,brvbar
ℬ,Bscr
𝒷,bscr
⁏,bsemi
∽,bsim
⋍,bsime
\,bsol
⧅,bsolb
⟈,bsolhsub
•,bull
•,bullet
≎,bump
⪮,bumpE
≏,bumpe
≎,Bumpeq
≏,bumpeq
Ć,Cacute
ć,cacute
⋒,Cap
∩,cap
⩄,capand
⩉,capbrcup
⩋,capcap
⩇,capcup
⩀,capdot
ⅅ,CapitalDifferentialD
∩︀,caps
⁁,caret
ˇ,caron
ℭ,Cayleys
⩍,ccaps
Č,Ccaron
č,ccaron
Ç,Ccedil
ç,ccedil
Ĉ,Ccirc
ĉ,ccirc
∰,Cconint
⩌,ccups
⩐,ccupssm
Ċ,Cdot
ċ,cdot
¸,cedil
¸,Cedilla
⦲,cemptyv
¢,cent
·,CenterDot
·,centerdot
ℭ,Cfr
𝔠,cfr
Ч,CHcy
ч,chcy
✓,check
✓,checkmark
Χ,Chi
χ,chi
○,cir
ˆ,circ
≗,circeq
↺,circlearrowleft
↻,circlearrowright
⊛,circledast
⊚,circledcirc
⊝,circleddash
⊙,CircleDot
®,circledR
Ⓢ,circledS
⊖,CircleMinus
⊕,CirclePlus
⊗,CircleTimes
⧃,cirE
≗,cire
⨐,cirfnint
⫯,cirmid
⧂,cirscir
∲,ClockwiseContourIntegral
”,CloseCurlyDoubleQuote
’,CloseCurlyQuote
♣,clubs
♣,clubsuit
∷,Colon
:,colon
⩴,Colone
≔,colone
≔,coloneq
,comma
@,commat
∁,comp
∘,compfn
∁,complement
ℂ,complexes
≅,cong
⩭,congdot
≡,Congruent
∯,Conint
∮,conint
∮,ContourIntegral
ℂ,Copf
𝕔,copf
∐,coprod
∐,Coproduct
©,COPY
©,copy
℗,copysr
∳,CounterClockwiseContourIntegral
↵,crarr
⨯,Cross
✗,cross
𝒞,Cscr
𝒸,cscr
⫏,csub
⫑,csube
⫐,csup
⫒,csupe
⋯,ctdot
⤸,cudarrl
⤵,cudarrr
⋞,cuepr
⋟,cuesc
↶,cularr
⤽,cularrp
⋓,Cup
∪,cup
⩈,cupbrcap
≍,CupCap
⩆,cupcap
⩊,cupcup
⊍,cupdot
⩅,cupor
∪︀,cups
↷,curarr
⤼,curarrm
⋞,curlyeqprec
⋟,curlyeqsucc
⋎,curlyvee
⋏,curlywedge
¤,curren
↶,curvearrowleft
↷,curvearrowright
⋎,cuvee
⋏,cuwed
∲,cwconint
∱,cwint
⌭,cylcty
‡,Dagger
†,dagger
ℸ,daleth
↡,Darr
⇓,dArr
↓,darr
‐,dash
⫤,Dashv
⊣,dashv
⤏,dbkarow
˝,dblac
Ď,Dcaron
ď,dcaron
Д,Dcy
д,dcy
ⅅ,DD
ⅆ,dd
‡,ddagger
⇊,ddarr
⤑,DDotrahd
⩷,ddotseq
°,deg
∇,Del
Δ,Delta
δ,delta
⦱,demptyv
⥿,dfisht
𝔇,Dfr
𝔡,dfr
⥥,dHar
⇃,dharl
⇂,dharr
´,DiacriticalAcute
˙,DiacriticalDot
˝,DiacriticalDoubleAcute
`,DiacriticalGrave
˜,DiacriticalTilde
⋄,diam
⋄,Diamond
⋄,diamond
♦,diamondsuit
♦,diams
¨,die
ⅆ,DifferentialD
ϝ,digamma
⋲,disin
÷,div
÷,divide
⋇,divideontimes
⋇,divonx
Ђ,DJcy
ђ,djcy
⌞,dlcorn
⌍,dlcrop
$,dollar
𝔻,Dopf
𝕕,dopf
¨,Dot
˙,dot
◌⃜,DotDot
≐,doteq
≑,doteqdot
≐,DotEqual
∸,dotminus
∔,dotplus
⊡,dotsquare
⌆,doublebarwedge
∯,DoubleContourIntegral
¨,DoubleDot
⇓,DoubleDownArrow
⇐,DoubleLeftArrow
⇔,DoubleLeftRightArrow
⫤,DoubleLeftTee
⟸,DoubleLongLeftArrow
⟺,DoubleLongLeftRightArrow
⟹,DoubleLongRightArrow
⇒,DoubleRightArrow
⊨,DoubleRightTee
⇑,DoubleUpArrow
⇕,DoubleUpDownArrow
∥,DoubleVerticalBar
↓,DownArrow
⇓,Downarrow
↓,downarrow
⤓,DownArrowBar
⇵,DownArrowUpArrow
◌̑,DownBreve
⇊,downdownarrows
⇃,downharpoonleft
⇂,downharpoonright
⥐,DownLeftRightVector
⥞,DownLeftTeeVector
↽,DownLeftVector
⥖,DownLeftVectorBar
⥟,DownRightTeeVector
⇁,DownRightVector
⥗,DownRightVectorBar
⊤,DownTee
↧,DownTeeArrow
⤐,drbkarow
⌟,drcorn
⌌,drcrop
𝒟,Dscr
𝒹,dscr
Ѕ,DScy
ѕ,dscy
⧶,dsol
Đ,Dstrok
đ,dstrok
⋱,dtdot
▿,dtri
▾,dtrif
⇵,duarr
⥯,duhar
⦦,dwangle
Џ,DZcy
џ,dzcy
⟿,dzigrarr
É,Eacute
é,eacute
⩮,easter
Ě,Ecaron
ě,ecaron
≖,ecir
Ê,Ecirc
ê,ecirc
≕,ecolon
Э,Ecy
э,ecy
⩷,eDDot
Ė,Edot
≑,eDot
ė,edot
ⅇ,ee
≒,efDot
𝔈,Efr
𝔢,efr
⪚,eg
È,Egrave
è,egrave
⪖,egs
⪘,egsdot
⪙,el
∈,Element
⏧,elinters
ℓ,ell
⪕,els
⪗,elsdot
Ē,Emacr
ē,emacr
∅,empty
∅,emptyset
